"","Estimate","Std..Error","t.value","p.z","element"
"trtbison",0.024215240231478,0.0747069371621687,0.324136434330231,0.745834744088606,"grassN"
"trtcattle",0.026309538873128,0.0755681618248506,0.348156395997926,0.727722732559624,"grassN"
"trttrtpd",0.290653598245508,0.150721942768955,1.92840931390499,0.053804234242701,"grassN"
"trtuntrtpd",0.245791381169646,0.0790659499519172,3.1086881434944,0.00187919955921223,"grassN"
"trtbison1",0.0766235834478175,0.0981996574235934,0.780283612572033,0.435223956424164,"grassP"
"trtcattle1",0.0744894306731288,0.0987790536506647,0.754101481236731,0.450788288049356,"grassP"
"trttrtpd1",0.0725180591745679,0.170264962688104,0.425912988965372,0.670171249830371,"grassP"
"trtuntrtpd1",0.0896146194341883,0.101103355612892,0.88636642068843,0.375420107804816,"grassP"
"trtbison2",-0.0416495149185811,0.105140015197587,-0.396133811092856,0.692006316550008,"grassK"
"trtcattle2",0.00921571497892441,0.105849658292256,0.0870641920588854,0.930620487866017,"grassK"
"trttrtpd2",0.240364000114061,0.1868996246198,1.28605929842299,0.198422367442635,"grassK"
"trtuntrtpd2",0.203172374404119,0.108700177710091,1.86910802433084,0.0616077868526099,"grassK"
"trtbison3",0.098365189875857,0.0500676812716056,1.96464440488563,0.0494554087162065,"grassMg"
"trtcattle3",0.176626972413712,0.0511929382035376,3.45022142920302,0.00056012691762386,"grassMg"
"trttrtpd3",0.160561186832216,0.12764804190213,1.25784292841186,0.208448567086506,"grassMg"
"trtuntrtpd3",0.16780032841804,0.0559773693995516,2.99764583827306,0.00272073647841986,"grassMg"
"trtbison4",-0.0258967281169702,0.0140597207519867,-1.84190913701546,0.0654884418843833,"grassNa"
"trtcattle4",0.00100349874324819,0.0143464771887651,0.0699473975418888,0.944235527702882,"grassNa"
"trttrtpd4",-0.0272539806249394,0.0344291627689328,-0.791595799405615,0.428596397011742,"grassNa"
"trtuntrtpd4",-0.00214318381368753,0.0155527559342386,-0.137800903116433,0.890397770586435,"grassNa"
"trtbison5",-0.292787167085013,0.209913740896983,-1.39479752889879,0.163076904298071,"grassSi"
"trtcattle5",-0.354924883348255,0.214631492669244,-1.65364774262279,0.098199106188986,"grassSi"
"trttrtpd5",-2.71586436908947,0.535177130502488,-5.07470184037851,3.88104072879258e-07,"grassSi"
"trtuntrtpd5",-0.503107482360531,0.234690697028466,-2.14370441065889,0.0320565785766125,"grassSi"
"trtbison6",0.0838548234761877,0.139597859036101,0.600688463671226,0.548047504221959,"forbN"
"trtcattle6",-0.183995172342427,0.132921923558446,-1.38423495099004,0.166286524625817,"forbN"
"trttrtpd6",0.0744130040660286,0.132466879129368,0.561747997349257,0.574287727401039,"forbN"
"trtuntrtpd6",-0.0644008215508214,0.132921923558446,-0.484501125373078,0.628030265868467,"forbN"
"trtbison7",0.0286585569807744,0.100207524718885,0.28599206557762,0.774884198622223,"forbP"
"trtcattle7",-0.0536689056100639,0.089861790228002,-0.597238330929001,0.550348271024939,"forbP"
"trttrtpd7",0.139465771423938,0.0889677307606222,1.56759951312219,0.116974625820848,"forbP"
"trtuntrtpd7",-0.0507745126163309,0.089861790228002,-0.565028945979188,0.572054075983803,"forbP"
"trtbison8",0.0573973231017101,0.167946457139715,0.341759654113817,0.732531774607866,"forbK"
"trtcattle8",-0.173980083303046,0.156121572463291,-1.11438848941875,0.265112559253664,"forbK"
"trttrtpd8",0.154242989053863,0.155243668327138,0.993554137930017,0.320439981298636,"forbK"
"trtuntrtpd8",-0.109343842199088,0.156121572463291,-0.700376254695991,0.483692361374958,"forbK"
"trtbison9",-0.0834286680783519,0.162621278575009,-0.513024302904312,0.607934320685207,"forbMg"
"trtcattle9",-0.160113461825284,0.15130252990185,-1.05823387043924,0.289948833161155,"forbMg"
"trttrtpd9",0.130014736351487,0.150464952785707,0.864086512801788,0.387540367464339,"forbMg"
"trtuntrtpd9",-0.172303707277942,0.15130252990185,-1.13880255267189,0.254785516879251,"forbMg"
"trtbison10",-0.0402729152138701,0.139056828274951,-0.289614797874149,0.7721109449069,"forbNa"
"trtcattle10",-0.0842463102672096,0.133546982844854,-0.630836492690229,0.528147439789753,"forbNa"
"trttrtpd10",0.171234625617197,0.13318184196981,1.28572050877637,0.198540621061658,"forbNa"
"trtuntrtpd10",-0.0749890158169772,0.133546982844854,-0.561517858505981,0.574444559479057,"forbNa"
"trtbison11",-0.129098241903888,0.317831832453267,-0.406184116006914,0.684607324120984,"forbSi"
"trtcattle11",-0.0458363098449114,0.273457259465189,-0.167617820549198,0.866883950784611,"forbSi"
"trttrtpd11",0.006903469674732,0.26861692548604,0.0257000546865792,0.979496580238856,"forbSi"
"trtuntrtpd11",0.0127083772046941,0.273457259465189,0.0464729926334683,0.96293325957787,"forbSi"
"trtbison12",-0.00700033058061357,0.173113002879583,-0.0404379247322223,0.967743995399658,"soilC"
"trtcattle12",-0.110586699903192,0.173113002879583,-0.638812209733981,0.522945104376818,"soilC"
"trttrtpd12",-0.0690256913185383,0.173113002879583,-0.398731985294902,0.690090697326658,"soilC"
"trtuntrtpd12",0.223612940072013,0.173113002879583,1.29171660333081,0.196455305424334,"soilC"
"trtbison13",0.00324585127181639,0.162819279528915,0.0199353005443066,0.984094984972836,"soilN"
"trtcattle13",-0.134671648214312,0.162819279528915,-0.827123474590709,0.40816708015191,"soilN"
"trttrtpd13",-0.0334353143593923,0.162819279528915,-0.205352305059516,0.837296881166786,"soilN"
"trtuntrtpd13",0.203058670786792,0.162819279528915,1.24714144033988,0.212345640361779,"soilN"
