"","Estimate","Std..Error","t.value","p.z","R2m","R2c","element","herbivore"
"month",0.486371595273662,0.0633925529485146,7.67237747419129,1.68753899743024e-14,0.834530208300119,0.84405379021623,"Si","trtpd"
"month29",-0.013825086280082,0.0304016807267757,-0.454747433351795,0.649290951880229,0.00379455545779651,0.798157286262454,"Mg","trtpd"
"month28",-0.0584422134248474,0.0382333597860439,-1.52856598927987,0.126372072816257,0.0879207061297761,0.586080899056122,"Na","trtpd"
"month27",-0.0584422134248474,0.0382333597860439,-1.52856598927987,0.126372072816257,0.0879207061297761,0.586080899056122,"K","trtpd"
"month26",-0.0503508281916505,0.0198329779456787,-2.53874271072949,0.0111251605563276,0.157565206801988,0.73108462704673,"P","trtpd"
"month25",-0.0979353314140332,0.0155869322829492,-6.28316910834125,3.31739968828515e-10,0.415442905298417,0.884243194152914,"N","trtpd"
"month24",0.415836629837802,0.104159551154855,3.9923043564154,6.54343133905666e-05,0.614472606953463,0.614472606953463,"Si","untrtpd"
"month23",0.00194462162683405,0.0616554753210533,0.0315401287024061,0.974838789975332,9.94680769738812e-05,9.94680769738812e-05,"Mg","untrtpd"
"month22",-0.0670498374588071,0.0488446563170339,-1.37271592256909,0.169840677247778,0.131636452764899,0.302702372773274,"Na","untrtpd"
"month21",-0.0670498374588071,0.0488446563170339,-1.37271592256909,0.169840677247778,0.131636452764899,0.302702372773274,"K","untrtpd"
"month20",-0.0624453791327229,0.0384090181698145,-1.62579993210549,0.103992222819325,0.209062587400607,0.209062587400607,"P","untrtpd"
"month19",-0.0676676265670319,0.0244245245072824,-2.77047876804546,0.00559739493700318,0.147471521909796,0.808594932796423,"N","untrtpd"
"month18",0.144311803992464,0.113368518838239,1.27294424829151,0.203037826137638,0.187971496885177,0.187971496885177,"Si","ungrazed"
"month17",-0.0124332971375217,0.0222260597163511,-0.559401769643174,0.575887553918852,0.00929638345193678,0.79204737965475,"Mg","ungrazed"
"month16",-0.0491903599222417,0.0343185282714324,-1.43334701107183,0.151758693436758,0.22467498765111,0.234491396228922,"Na","ungrazed"
"month15",-0.0491903599222417,0.0343185282714324,-1.43334701107183,0.151758693436758,0.22467498765111,0.234491396228922,"K","ungrazed"
"month14",-0.0557876181561513,0.0298038460257004,-1.87182614311068,0.0612306601712447,0.183284224746606,0.633822116886549,"P","ungrazed"
"month13",-0.0134765218865127,0.0310287621134032,-0.434323542694323,0.664053510134988,0.019533976684702,0.275126934404077,"N","ungrazed"
"month12",0.499126312751677,0.0658592659796632,7.57868016485035,3.48610029732299e-14,0.846575516927706,0.853460492169358,"Si","cattle"
"month11",-0.0293652208942441,0.0378383017564012,-0.776071322737847,0.437706874901345,0.0249227593501027,0.60104715813802,"Mg","cattle"
"month10",-0.0483360954352635,0.0428594192123946,-1.1277823247144,0.259411859844703,0.0982073793896557,0.240633406140608,"Na","cattle"
"month9",-0.0483360954352635,0.0428594192123946,-1.1277823247144,0.259411859844703,0.0982073793896557,0.240633406140608,"K","cattle"
"month8",-0.0354200935814859,0.0333065807374826,-1.06345631395374,0.287575066425017,0.101603224848101,0.101603224848101,"P","cattle"
"month7",-0.0629762567419747,0.0183452488048113,-3.4328374290273,0.000597300126672362,0.540955340540567,0.540955340540567,"N","cattle"
"month6",0.484528097380373,0.0825736998741639,5.86782593148615,4.41546443852303e-09,0.873197441919929,0.873197441919929,"Si","bison"
"month5",-0.149198903695916,0.0636728588159221,-2.34321037990848,0.0191185992134018,0.523384422864401,0.523384422864401,"Na","bison"
"month4",-0.149198903695916,0.0636728588159221,-2.34321037990848,0.0191185992134018,0.523384422864401,0.523384422864401,"Mg","bison"
"month3",-0.18126241235593,0.093535906220054,-1.93789123002122,0.052636494155609,0.389328788755455,0.570649878462927,"K","bison"
"month2",-0.0761929805619824,0.0756848749401573,-1.00671343676298,0.314072503142973,0.146786093088356,0.400201020117927,"P","bison"
"month1",-0.0827195118793251,0.0121592050490042,-6.80303618089735,1.02435837590065e-11,0.254548255752014,0.982691295644147,"N","bison"
