"","Estimate","Std..Error","t.value","p.z","R2m","R2c","element","herbivore"
"month",0.484402923069087,0.163178004229961,2.96855526181356,0.00299203296333506,0.557307223202925,0.557307223202925,"Si","untrtpd"
"month23",-0.0495909248146028,0.080743756586779,-0.614176586660358,0.539098643350534,0.0459275653573394,0.163462086809394,"Mg","untrtpd"
"month22",0.00088874024241609,0.0036399775832255,0.244160910911036,0.807106199573121,0.00844444834645781,0.00844444834645781,"Na","untrtpd"
"month21",-0.139057064696672,0.0522318092133934,-2.66230610792274,0.00776072663314942,0.235749115237506,0.782391019867635,"K","untrtpd"
"month20",-0.128095702058842,0.0582063456589955,-2.20071713158728,0.0277560552444456,0.181186372792898,0.755056569200445,"P","untrtpd"
"month19",-0.14486278685995,0.00782421287817332,-18.514678615668,0,0.415552838325395,0.992163049894653,"N","untrtpd"
"month18",0.343218718997497,0.0886935804985789,3.86971319759716,0.000108963459826805,0.576510667238424,0.576510667238424,"Si","ungrazed"
"month17",0.0210891915793223,0.0240147827138185,0.878175406816703,0.379848536077156,0.0655152037432131,0.0655152037432131,"Mg","ungrazed"
"month16",-0.00416691954857058,0.00321146863380497,-1.29751214279604,0.194455029826578,0.100227862438392,0.345125180701744,"Na","ungrazed"
"month15",-0.070813458301321,0.019708358833298,-3.59306723103089,0.000326808222895325,0.264124146484857,0.774954618371185,"K","ungrazed"
"month14",-0.0842216813293089,0.0215597025569691,-3.90643985494523,9.36659437278387e-05,0.33918961529897,0.755503330144749,"P","ungrazed"
"month13",-0.0694476178351141,0.0178360931831071,-3.89365636982034,9.874450068037e-05,0.437221588450701,0.682766500950093,"N","ungrazed"
"month12",0.388761508247371,0.0976429355379491,3.98146067716571,6.84930536571926e-05,0.613183168249364,0.613183168249364,"Si","cattle"
"month11",0.0665429715572238,0.035846013409581,1.8563562646952,0.0634027942305642,0.256287637049369,0.256287637049369,"Mg","cattle"
"month10",0.0290715235400031,0.0147144475693076,1.97571287695791,0.0481873056551345,0.280753611115925,0.280753611115925,"Na","cattle"
"month9",-0.0283530127645054,0.0272543722509011,-1.04031061524699,0.298195613987704,0.0841718846945333,0.235545162308925,"K","cattle"
"month8",-0.0473306075531708,0.0136650135243821,-3.46363415365233,0.000532930779803209,0.374423133185746,0.698462028569589,"P","cattle"
"month7",-0.0811975171089811,0.0175481834624412,-4.62711808790751,3.70789119807924e-06,0.667107839842588,0.69116857988539,"N","cattle"
"month6",0.267425677982298,0.0964679905245168,2.77217009008115,0.00556839320159797,0.411290180845243,0.411290180845243,"Si","bison"
"month5",-0.00561155516364238,0.0044451442494566,-1.26240113902454,0.206804479579376,0.0955815827080378,0.340261015978703,"Na","bison"
"month4",0.0402404441843942,0.0185154978489524,2.17333849257912,0.0297548504107359,0.300405773703256,0.300405773703256,"Mg","bison"
"month3",-0.0925119004434055,0.0219743465876434,-4.20999550882787,2.55375764774968e-05,0.266462742013917,0.8346265020024,"K","bison"
"month2",-0.0492013701576351,0.0112981028087547,-4.35483470016842,1.33167367855069e-05,0.188759699138295,0.89051399429933,"P","bison"
"month1",-0.0980190350847938,0.0154340548931697,-6.35082846103987,2.14158468736514e-10,0.435176165271892,0.881314675573023,"N","bison"
