"","site","bison_dens","cattle_dens","PD_pres","insecticide","month","Temp_past20dayMean","Temp_samplingday","soil_PC1_posOther","soil_PC2_posCN","w_C","w_N","w_Ca","w_K","w_Mg","w_Na","w_P","w_Si","f_C","f_N","f_Ca","f_K","f_Mg","f_Na","f_P","f_Si","g_C","g_N","g_Ca","g_K","g_Mg","g_Na","g_P","g_Si","grass_PC1","forb_PC1","g_per_m2_est","g_per_m2_SE","trt","ghop_m2_est","ghop_m2_SE","g_m2_woody.mean","g_m2_woody.se","perc_woody.mean","perc_woody.se","g_m2_forb.mean","g_m2_forb.se","perc_forb.mean","perc_forb.se","g_m2_grass.mean","g_m2_grass.se","perc_grass.mean","perc_grass.se"
"1","bison_1",0.014448,0.000000,0,0,6,NA,21.20100,-1.57626648,-1.26014557,41.19,1.00, 6344.562,12905.812,1322.8125, 1346,1192.1875,  23.12500,43.02,2.21,14623.938,21252.625,3537.3125,1675,1534.8125,  50.87500,44.62,1.48,2126.6250, 9204.062, 696.8125,1343,1236.0625,  89.50000, 0.12717182, 0.85243706,176.6615, 9.893164,"bison", 8.6666667, 2.2860564, 62.000000, 37.404545,22.4109027,12.4153510, 19.60000000,  8.23164625,21.42530314,15.66006451, 53.0000000, 20.7557221,26.965075023, 9.280558278
"2","bison_1",0.014448,0.000000,0,0,7,20.63281,23.05625, 0.65985313,-0.86082309,41.43,0.75, 1836.294, 4423.882, 596.5882, 1257, 290.5294,  37.70588,44.65,1.65, 5348.841,11358.963,1542.1341,1296,1301.6463,  43.65854,45.00,1.01,2009.1148, 9190.295, 851.4098,1438,1480.8525, 743.27869,-0.28322580,-1.37440495,240.9751,43.100280,"bison",39.3333333,22.0000018, 49.800000, 45.668808,10.0884227, 7.8201265, 19.72000000, 10.62513059,10.16280745, 6.78030371,145.4000000, 60.4893379,49.293073034,12.854644127
"3","bison_1",0.014448,0.000000,0,0,8,24.91005,27.05650,-0.75220691,-0.93363469,NA,NA,NA,NA,NA,NA,NA,NA,43.09,1.53, 7097.224,19740.315,2501.0726,2678,2028.5804, 484.66877,47.64,1.04,1457.9532, 7128.304, 704.6199,1297,1118.6550, 705.90643,-1.33782177,-0.05319967,195.5178,21.886862,"bison",14.0000000, 3.3333333,  0.000000,  0.000000, 0.0000000, 0.0000000,  5.20000000,  2.39582971, 4.84421839, 2.47824245, 69.0000000, 17.6266843,74.257118218, 7.059527436
"4","bison_1",0.014448,0.000000,0,0,9,24.18931,31.06775,-1.08235711,-1.23034693,NA,NA,NA,NA,NA,NA,NA,NA,45.20,1.21, 2290.735, 5354.121, 810.0319,1391, 764.7284,1058.14696,39.32,0.64,6584.5538, 7913.354,1303.5692,1339,1088.8000, 117.16923, 0.89626595,-3.05797994,193.1608,13.229581,"bison", 5.9270483, 2.6189253,  0.000000,  0.000000, 0.0000000, 0.0000000, 16.92000000,  7.85069424,23.37746941,12.82535663,  8.5400000,  8.5400000,13.863636364,13.863636364
"5","bison_2",0.017616,0.000000,0,0,6,NA,12.32025, 1.69720336, 0.55305434,NA,NA,NA,NA,NA,NA,NA,NA,36.34,4.67, 7532.625,59068.062,3705.3750,1380,3159.9375,  43.81250,44.49,2.01,2289.3750,15881.250, 861.9375,1361,1851.3125,  79.93750, 2.10983564, 4.55265592,223.1289,27.274396,"bison", 2.3333333, 1.0000000,  0.000000,  0.000000, 0.0000000, 0.0000000,  1.90000000,  1.77763888, 1.28696858, 1.24127407, 92.8000000, 20.8959326,45.684996114,11.623956526
"6","bison_2",0.017616,0.000000,0,0,7,22.06198,26.83125, 1.69777671, 1.34572392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.65,1.79,2126.4072,12918.802, 763.1138,1239,1635.6287,  98.68263, 1.12629448,NA,206.9663,15.825885,"bison", 8.3333333, 3.6666676,  0.000000,  0.000000, 0.0000000, 0.0000000,  0.08000000,  0.05830952, 0.05008747, 0.03393546,128.4000000, 10.1813555,70.914081540,11.628265844
"7","bison_2",0.017616,0.000000,0,0,8,25.43658,20.78275,-0.90834556, 0.30864294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.92,1.45,2102.0482,11174.096, 851.7470,1318,1247.9518, 816.26506,-0.18542851,NA,204.2726,18.519651,"bison", 9.3333333, 2.0000000,  0.000000,  0.000000, 0.0000000, 0.0000000,  1.90000000,  1.77763888, 1.68023618, 1.64439858,126.8000000, 46.2810977,52.882416476,14.241681888
"8","bison_2",0.017616,0.000000,0,0,9,24.21126,23.21700, 3.30073996, 0.74022685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.72,0.90,1533.1395, 5442.733, 748.0814,1267,1143.2558, 736.68605,-1.50514549,NA,179.0185,19.529814,"bison", 4.6666667, 1.1480451,  0.000000,  0.000000, 0.0000000, 0.0000000,  0.00000000,  0.00000000, 0.00000000, 0.00000000, 45.9800000, 28.3847212,15.549793784, 9.554150665
"9","bison_3",0.012613,0.000000,0,0,6,NA,13.57525, 1.91787645,-0.24764465,NA,NA,NA,NA,NA,NA,NA,NA,44.38,2.52,17747.875,16307.000,1955.3125,1367,1042.0000,  32.37500,44.71,1.23,2089.6875, 7220.125, 623.4375,1339, 993.5625,  74.50000,-0.61173233, 0.10519641,201.5788,31.315047,"bison", 3.3333333, 1.1072731,  0.000000,  0.000000, 0.0000000, 0.0000000,  8.82000000,  8.05154644, 2.78116087, 2.27812747, 80.4000000,  1.6000000,42.474021892,13.622853957
"10","bison_3",0.012613,0.000000,0,0,7,21.16321,19.99950,-0.54324403,-0.62330752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.61,0.85,2569.2941, 5962.588, 862.8235,1223, 968.5882, 111.29412,-0.89345403,NA,226.8329, 8.754744,"bison", 5.3333333, 1.3333333,  0.000000,  0.000000, 0.0000000, 0.0000000,  1.20000000,  0.70000000, 0.51352873, 0.30140976,100.6000000, 15.7689568,41.046992644, 7.807876097
