day,mo,yr,time,time2,bison_1_tempC,bison_2_tempC,bison_3_tempC,cattle_1_tempC,cattle_2_tempC,cattle_3_tempC,ungrazed_1_tempC,ungrazed_2_tempC,ungrazed_3_tempC,trtpd_1_tempC,trtpd_2_tempC,trtpd_3_tempC,untrtpd_1_tempC,untrtpd_2_tempC,untrtpd_3_tempC
9,6,2022,5,5am,28.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.864,NA,NA,NA,NA
9,6,2022,11,11am,28.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.478,NA,NA,NA,NA
9,6,2022,17,5pm,14.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.433,NA,NA,NA,NA
9,6,2022,23,11pm,13.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.446,NA,NA,NA,NA
10,6,2022,5,5am,29.234,NA,NA,NA,NA,NA,25.845,NA,NA,NA,27.947,NA,NA,NA,NA
10,6,2022,11,11am,27.475,NA,NA,NA,NA,NA,30.435,NA,NA,NA,27.99,NA,NA,NA,NA
10,6,2022,17,5pm,14.433,NA,NA,NA,NA,NA,16.45,NA,NA,NA,15.892,NA,NA,NA,NA
10,6,2022,23,11pm,13.017,NA,NA,NA,NA,NA,11.988,NA,NA,NA,12.117,NA,NA,NA,NA
11,6,2022,5,5am,33.91,NA,NA,NA,26.831,NA,31.851,NA,NA,NA,31.25,NA,30.135,NA,NA
11,6,2022,11,11am,26.574,NA,NA,NA,25.073,NA,29.877,NA,NA,NA,25.416,NA,23.828,NA,NA
11,6,2022,17,5pm,16.192,NA,NA,NA,16.535,NA,15.42,NA,NA,NA,16.964,NA,14.047,NA,NA
11,6,2022,23,11pm,13.103,NA,NA,NA,11.902,NA,11.387,NA,NA,NA,11.301,NA,13.146,NA,NA
12,6,2022,5,5am,37.857,NA,NA,NA,28.547,NA,33.653,NA,NA,NA,36.227,NA,31.937,NA,NA
12,6,2022,11,11am,25.502,NA,NA,NA,27.518,NA,25.459,NA,NA,NA,24.815,NA,28.934,NA,NA
12,6,2022,17,5pm,16.75,NA,NA,NA,10.486,NA,16.964,NA,NA,NA,16.407,NA,11.473,NA,NA
12,6,2022,23,11pm,14.948,NA,NA,NA,12.631,NA,14.948,NA,NA,NA,14.519,NA,13.232,NA,NA
13,6,2022,5,5am,30.607,NA,NA,NA,25.459,NA,33.481,NA,NA,NA,25.416,NA,29.792,NA,NA
13,6,2022,11,11am,19.967,NA,NA,NA,15.763,NA,18.809,NA,NA,NA,19.538,NA,20.311,NA,NA
13,6,2022,17,5pm,12.202,NA,NA,NA,11.087,NA,10.443,NA,NA,NA,13.575,NA,11.259,NA,NA
13,6,2022,23,11pm,5.81,NA,NA,NA,3.193,NA,1.091,NA,NA,NA,4.695,NA,6.068,NA,NA
14,6,2022,5,5am,24.772,17.865,NA,15.677,18.68,NA,18.466,16.921,NA,18.38,18.337,NA,19.71,NA,NA
14,6,2022,11,11am,13.618,11.688,NA,15.12,11.473,NA,17.951,15.978,NA,16.964,12.588,NA,11.816,NA,NA
14,6,2022,17,5pm,7.612,9.156,NA,8.985,8.727,NA,10.958,9.929,NA,10.958,7.44,NA,8.813,NA,NA
14,6,2022,23,11pm,11.387,10.572,NA,9.929,8.813,NA,11.044,10.1,NA,9.543,11.387,NA,10.358,NA,NA
