day,mo,yr,date,DOY,site,code,meanTempC,samplinogDate,past20dayMean
9,6,2022,6/9/2022,160,bison_1,bison_1-160,21.201,Y,
10,6,2022,6/10/2022,161,bison_1,bison_1-161,21.03975,no,
11,6,2022,6/11/2022,162,bison_1,bison_1-162,22.44475,no,
12,6,2022,6/12/2022,163,bison_1,bison_1-163,23.76425,no,
13,6,2022,6/13/2022,164,bison_1,bison_1-164,17.1465,no,
14,6,2022,6/14/2022,165,bison_1,bison_1-165,14.34725,no,
15,6,2022,6/15/2022,166,bison_1,bison_1-166,14.519,no,
16,6,2022,6/16/2022,167,bison_1,bison_1-167,22.2625,no,
17,6,2022,6/17/2022,168,bison_1,bison_1-168,32.237,no,
18,6,2022,6/18/2022,169,bison_1,bison_1-169,24.96525,no,
19,6,2022,6/19/2022,170,bison_1,bison_1-170,15.57,no,
20,6,2022,6/20/2022,171,bison_1,bison_1-171,20.87925,no,
21,6,2022,6/21/2022,172,bison_1,bison_1-172,19.36675,no,
22,6,2022,6/22/2022,173,bison_1,bison_1-173,23.83925,no,
23,6,2022,6/23/2022,174,bison_1,bison_1-174,21.39375,no,
24,6,2022,6/24/2022,175,bison_1,bison_1-175,15.495,no,
25,6,2022,6/25/2022,176,bison_1,bison_1-176,14.54025,no,
26,6,2022,6/26/2022,177,bison_1,bison_1-177,20.62175,no,
27,6,2022,6/27/2022,178,bison_1,bison_1-178,20.9755,no,
28,6,2022,6/28/2022,179,bison_1,bison_1-179,25.50125,no,
29,6,2022,6/29/2022,180,bison_1,bison_1-180,20.53575,no,
30,6,2022,6/30/2022,181,bison_1,bison_1-181,16.84625,no,
1,7,2022,7/1/2022,182,bison_1,bison_1-182,22.8095,no,
2,7,2022,7/2/2022,183,bison_1,bison_1-183,26.12325,no,
3,7,2022,7/3/2022,184,bison_1,bison_1-184,19.82775,no,
4,7,2022,7/4/2022,185,bison_1,bison_1-185,23.05625,Y,20.6328125
5,7,2022,7/5/2022,186,bison_1,bison_1-186,20.0855,no,
6,7,2022,7/6/2022,187,bison_1,bison_1-187,24.31075,no,
7,7,2022,7/7/2022,188,bison_1,bison_1-188,24.30025,no,
8,7,2022,7/8/2022,189,bison_1,bison_1-189,26.767,no,
9,7,2022,7/9/2022,190,bison_1,bison_1-190,24.815,no,
