site,month,past20dayMean
bison_1,7,20.6328125
bison_2,7,22.061975
bison_3,7,21.1632125
cattle_1,7,22.3365375
cattle_2,7,20.863975
cattle_3,7,21.02475
trtpd_1,7,21.39275
trtpd_2,7,21.72135
trtpd_3,7,21.3214
ungrazed_1,7,20.4183
ungrazed_2,7,23.5109125
ungrazed_3,7,21.3348125
untrtpd_1,7,22.9656
untrtpd_2,7,22.1295125
untrtpd_3,7,22.305425
bison_1,8,24.91005
bison_2,8,25.436575
bison_3,8,26.3471625
cattle_1,8,25.7460625
cattle_2,8,25.5996
cattle_3,8,27.1612375
trtpd_1,8,25.6983125
trtpd_2,8,27.70555
trtpd_3,8,25.0039
ungrazed_1,8,25.316525
ungrazed_2,8,27.6878125
ungrazed_3,8,24.823675
untrtpd_1,8,26.7954875
untrtpd_2,8,28.509925
untrtpd_3,8,28.0272625
bison_1,9,24.1893125
bison_2,9,24.2112625
bison_3,9,25.0843125
cattle_1,9,26.092425
cattle_2,9,24.90565
cattle_3,9,26.187425
trtpd_1,9,25.2285625
trtpd_2,9,26.23355
trtpd_3,9,24.75345
ungrazed_1,9,25.28114773
ungrazed_2,9,28.060475
ungrazed_3,9,24.2868875
untrtpd_1,9,24.5641625
untrtpd_2,9,25.721925
untrtpd_3,9,25.9799125
