month,site,Temp_past20dayMean,Temp_samplingday
7,ungrazed_1,20.4183,23.528
7,bison_1,20.6328125,23.05625
7,cattle_2,20.863975,23.024
7,cattle_3,21.02475,17.919
7,bison_3,21.1632125,19.9995
7,trtpd_3,21.3214,24.63275
7,ungrazed_3,21.3348125,21.265
7,trtpd_1,21.39275,23.614
7,trtpd_2,21.72135,24.2145
7,bison_2,22.061975,26.83125
7,untrtpd_2,22.1295125,24.21475
7,untrtpd_3,22.305425,24.032
7,cattle_1,22.3365375,27.13175
7,untrtpd_1,22.9656,28.16125
7,ungrazed_2,23.5109125,29.62
9,bison_1,24.1893125,31.06775
9,bison_2,24.2112625,23.217
9,ungrazed_3,24.2868875,25.27625
9,untrtpd_1,24.5641625,23.36725
9,trtpd_3,24.75345,30.7355
8,ungrazed_3,24.823675,29.07275
9,cattle_2,24.90565,25.008
8,bison_1,24.91005,27.0565
8,trtpd_3,25.0039,26.60625
9,bison_3,25.0843125,28.82625
9,trtpd_1,25.2285625,25.53375
9,ungrazed_1,25.28114773,31.0035
8,ungrazed_1,25.316525,24.80425
8,bison_2,25.436575,20.78275
8,cattle_2,25.5996,19.356
8,trtpd_1,25.6983125,26.85275
9,untrtpd_2,25.721925,28.33275
8,cattle_1,25.7460625,28.72975
9,untrtpd_3,25.9799125,28.72975
9,cattle_1,26.092425,27.7215
9,cattle_3,26.187425,30.8855
9,trtpd_2,26.23355,26.83125
8,bison_3,26.3471625,22.316
8,untrtpd_1,26.7954875,21.7585
8,cattle_3,27.1612375,26.19875
8,ungrazed_2,27.6878125,29.223
8,trtpd_2,27.70555,26.70275
8,untrtpd_3,28.0272625,22.9275
9,ungrazed_2,28.060475,29.695
8,untrtpd_2,28.509925,24.708
6,untrtpd_2,NA,12.878
6,untrtpd_3,NA,13.575
6,bison_3,NA,13.57525
6,cattle_2,NA,20.08525
6,ungrazed_1,NA,21.1795
6,bison_1,NA,21.201
6,trtpd_2,NA,22.30525
6,cattle_1,NA,22.52
6,trtpd_1,NA,23.3995
6,cattle_3,NA,24.53625
6,ungrazed_2,NA,24.815
6,ungrazed_3,NA,26.1985
6,trtpd_3,NA,27.70025
6,bison_2,NA,12.32025
6,untrtpd_1,NA,20.289
