label,trt,site,yr,month,mo,day,plot,type,g_m2,plot_perc
bison1_June_grass,bison,bison_1,2022,June,6,9,1,grass,127,41.36807818
bison1_June_forb,bison,bison_1,2022,June,6,9,1,forb,5,1.628664495
bison1_June_woody,bison,bison_1,2022,June,6,9,1,woody,0,0
bison1_June_litter,bison,bison_1,2022,June,6,9,1,litter,175,57.00325733
bison1_June_grass,bison,bison_1,2022,June,6,9,2,grass,68,56.19834711
bison1_June_forb,bison,bison_1,2022,June,6,9,2,forb,15,12.39669421
bison1_June_woody,bison,bison_1,2022,June,6,9,2,woody,11,9.090909091
bison1_June_litter,bison,bison_1,2022,June,6,9,2,litter,27,22.31404959
bison1_June_grass,bison,bison_1,2022,June,6,9,3,grass,32,11.46953405
bison1_June_forb,bison,bison_1,2022,June,6,9,3,forb,19,6.810035842
bison1_June_woody,bison,bison_1,2022,June,6,9,3,woody,115,41.21863799
bison1_June_litter,bison,bison_1,2022,June,6,9,3,litter,113,40.50179211
bison1_June_grass,bison,bison_1,2022,June,6,9,4,grass,10,16.39344262
bison1_June_forb,bison,bison_1,2022,June,6,9,4,forb,51,83.60655738
bison1_June_woody,bison,bison_1,2022,June,6,9,4,woody,0,0
bison1_June_litter,bison,bison_1,2022,June,6,9,4,litter,0,0
bison1_June_grass,bison,bison_1,2022,June,6,9,5,grass,28,9.395973154
bison1_June_forb,bison,bison_1,2022,June,6,9,5,forb,8,2.684563758
bison1_June_woody,bison,bison_1,2022,June,6,9,5,woody,184,61.74496644
bison1_June_litter,bison,bison_1,2022,June,6,9,5,litter,78,26.17449664
bison2_June_grass,bison,bison_2,2022,June,6,14,1,grass,23,10.90047393
bison2_June_forb,bison,bison_2,2022,June,6,14,1,forb,0,0
bison2_June_woody,bison,bison_2,2022,June,6,14,1,woody,0,0
bison2_June_litter,bison,bison_2,2022,June,6,14,1,litter,188,89.09952607
bison2_June_grass,bison,bison_2,2022,June,6,14,2,grass,110,72.36842105
bison2_June_forb,bison,bison_2,2022,June,6,14,2,forb,0,0
bison2_June_woody,bison,bison_2,2022,June,6,14,2,woody,0,0
bison2_June_litter,bison,bison_2,2022,June,6,14,2,litter,42,27.63157895
bison2_June_grass,bison,bison_2,2022,June,6,14,3,grass,99,68.75
bison2_June_forb,bison,bison_2,2022,June,6,14,3,forb,9,6.25
bison2_June_woody,bison,bison_2,2022,June,6,14,3,woody,0,0
bison2_June_litter,bison,bison_2,2022,June,6,14,3,litter,36,25
bison2_June_grass,bison,bison_2,2022,June,6,14,4,grass,151,46.46153846
bison2_June_forb,bison,bison_2,2022,June,6,14,4,forb,0,0
bison2_June_woody,bison,bison_2,2022,June,6,14,4,woody,0,0
bison2_June_litter,bison,bison_2,2022,June,6,14,4,litter,174,53.53846154
bison2_June_grass,bison,bison_2,2022,June,6,14,5,grass,81,29.94454713
bison2_June_forb,bison,bison_2,2022,June,6,14,5,forb,0.5,0.184842884
bison2_June_woody,bison,bison_2,2022,June,6,14,5,woody,0,0
bison2_June_litter,bison,bison_2,2022,June,6,14,5,litter,189,69.87060998
bison3_June_grass,bison,bison_3,2022,June,6,14,1,grass,85,55.92105263
bison3_June_forb,bison,bison_3,2022,June,6,14,1,forb,2,1.315789474
bison3_June_woody,bison,bison_3,2022,June,6,14,1,woody,0,0
bison3_June_litter,bison,bison_3,2022,June,6,14,1,litter,65,42.76315789
bison3_June_grass,bison,bison_3,2022,June,6,14,2,grass,79,16.48925068
bison3_June_forb,bison,bison_3,2022,June,6,14,2,forb,0.1,0.020872469
bison3_June_woody,bison,bison_3,2022,June,6,14,2,woody,0,0
bison3_June_litter,bison,bison_3,2022,June,6,14,2,litter,400,83.48987685
bison3_June_grass,bison,bison_3,2022,June,6,14,3,grass,76,21.96531792
bison3_June_forb,bison,bison_3,2022,June,6,14,3,forb,41,11.84971098
bison3_June_woody,bison,bison_3,2022,June,6,14,3,woody,0,0
bison3_June_litter,bison,bison_3,2022,June,6,14,3,litter,229,66.1849711
bison3_June_grass,bison,bison_3,2022,June,6,14,4,grass,83,89.72972973
bison3_June_forb,bison,bison_3,2022,June,6,14,4,forb,0.5,0.540540541
bison3_June_woody,bison,bison_3,2022,June,6,14,4,woody,0,0
bison3_June_litter,bison,bison_3,2022,June,6,14,4,litter,9,9.72972973
bison3_June_grass,bison,bison_3,2022,June,6,14,5,grass,79,28.2647585
bison3_June_forb,bison,bison_3,2022,June,6,14,5,forb,0.5,0.178890877
bison3_June_woody,bison,bison_3,2022,June,6,14,5,woody,0,0
bison3_June_litter,bison,bison_3,2022,June,6,14,5,litter,200,71.55635063
ungrazed1_June_grass,ungrazed,ungrazed_1,2022,June,6,9,1,grass,72,11.60915834
ungrazed1_June_forb,ungrazed,ungrazed_1,2022,June,6,9,1,forb,0.2,0.032247662
