trt,site,yr,mo,day,plot,PD_1m2
bison,bison_1,2022,6,9,1,0
bison,bison_1,2022,6,9,2,0
bison,bison_1,2022,6,9,3,0
bison,bison_1,2022,6,9,4,0
bison,bison_1,2022,6,9,5,0
bison,bison_1,2022,6,9,6,0
bison,bison_1,2022,6,9,7,0
bison,bison_1,2022,6,9,8,0
bison,bison_2,2022,6,14,1,0
bison,bison_2,2022,6,14,2,0
bison,bison_2,2022,6,14,3,0
bison,bison_2,2022,6,14,4,0
bison,bison_2,2022,6,14,5,0
bison,bison_2,2022,6,14,6,0
bison,bison_2,2022,6,14,7,0
bison,bison_2,2022,6,14,8,0
bison,bison_3,2022,6,14,1,0
bison,bison_3,2022,6,14,2,0
bison,bison_3,2022,6,14,3,0
bison,bison_3,2022,6,14,4,0
bison,bison_3,2022,6,14,5,0
bison,bison_3,2022,6,14,6,0
bison,bison_3,2022,6,14,7,0
bison,bison_3,2022,6,14,8,0
cattle,cattle_1,2022,6,16,1,0
cattle,cattle_1,2022,6,16,2,0
cattle,cattle_1,2022,6,16,3,0
cattle,cattle_1,2022,6,16,4,0
cattle,cattle_1,2022,6,16,5,0
cattle,cattle_1,2022,6,16,6,0
cattle,cattle_1,2022,6,16,7,0
cattle,cattle_1,2022,6,16,8,0
cattle,cattle_2,2022,6,10,1,0
cattle,cattle_2,2022,6,10,2,0
cattle,cattle_2,2022,6,10,3,0
cattle,cattle_2,2022,6,10,4,0
cattle,cattle_2,2022,6,10,5,0
cattle,cattle_2,2022,6,10,6,0
cattle,cattle_2,2022,6,10,7,0
cattle,cattle_2,2022,6,10,8,0
cattle,cattle_3,2022,6,17,1,0
cattle,cattle_3,2022,6,17,2,0
cattle,cattle_3,2022,6,17,3,0
cattle,cattle_3,2022,6,17,4,0
cattle,cattle_3,2022,6,17,5,0
cattle,cattle_3,2022,6,17,6,0
cattle,cattle_3,2022,6,17,7,0
cattle,cattle_3,2022,6,17,8,0
trtpd,trtpd_1,2022,6,16,1,7
trtpd,trtpd_1,2022,6,16,2,2
trtpd,trtpd_1,2022,6,16,3,6
trtpd,trtpd_1,2022,6,16,4,14
trtpd,trtpd_1,2022,6,16,5,4
trtpd,trtpd_1,2022,6,16,6,18
trtpd,trtpd_1,2022,6,16,7,18
trtpd,trtpd_1,2022,6,16,8,20
trtpd,trtpd_2,2022,6,9,1,0
trtpd,trtpd_2,2022,6,9,2,0
trtpd,trtpd_2,2022,6,9,3,0
trtpd,trtpd_2,2022,6,9,4,39
trtpd,trtpd_2,2022,6,9,5,8
trtpd,trtpd_2,2022,6,9,6,5
trtpd,trtpd_2,2022,6,9,7,10
trtpd,trtpd_2,2022,6,9,8,112
trtpd,trtpd_3,2022,6,16,1,1
trtpd,trtpd_3,2022,6,16,2,13
trtpd,trtpd_3,2022,6,16,3,10
trtpd,trtpd_3,2022,6,16,4,18
trtpd,trtpd_3,2022,6,16,5,15
trtpd,trtpd_3,2022,6,16,6,0
trtpd,trtpd_3,2022,6,16,7,1
trtpd,trtpd_3,2022,6,16,8,3
ungrazed,ungrazed_1,2022,6,9,1,0
ungrazed,ungrazed_1,2022,6,9,2,0
ungrazed,ungrazed_1,2022,6,9,3,0
ungrazed,ungrazed_1,2022,6,9,4,0
ungrazed,ungrazed_1,2022,6,9,5,0
ungrazed,ungrazed_1,2022,6,9,6,0
ungrazed,ungrazed_1,2022,6,9,7,0
ungrazed,ungrazed_1,2022,6,9,8,0
ungrazed,ungrazed_2,2022,6,16,1,0
ungrazed,ungrazed_2,2022,6,16,2,0
ungrazed,ungrazed_2,2022,6,16,3,0
ungrazed,ungrazed_2,2022,6,16,4,0
ungrazed,ungrazed_2,2022,6,16,5,0
ungrazed,ungrazed_2,2022,6,16,6,0
ungrazed,ungrazed_2,2022,6,16,7,0
ungrazed,ungrazed_2,2022,6,16,8,0
ungrazed,ungrazed_3,2022,6,17,1,0
ungrazed,ungrazed_3,2022,6,17,2,0
ungrazed,ungrazed_3,2022,6,17,3,0
ungrazed,ungrazed_3,2022,6,17,4,0
ungrazed,ungrazed_3,2022,6,17,5,0
ungrazed,ungrazed_3,2022,6,17,6,0
ungrazed,ungrazed_3,2022,6,17,7,0
ungrazed,ungrazed_3,2022,6,17,8,0
untrtpd,untrtpd_1,2022,6,10,1,134
untrtpd,untrtpd_1,2022,6,10,2,115
untrtpd,untrtpd_1,2022,6,10,3,32
untrtpd,untrtpd_1,2022,6,10,4,356
untrtpd,untrtpd_1,2022,6,10,5,164
untrtpd,untrtpd_1,2022,6,10,6,231
untrtpd,untrtpd_1,2022,6,10,7,222
untrtpd,untrtpd_1,2022,6,10,8,44
untrtpd,untrtpd_2,2022,6,14,1,3
untrtpd,untrtpd_2,2022,6,14,2,2
untrtpd,untrtpd_2,2022,6,14,3,35
untrtpd,untrtpd_2,2022,6,14,4,23
untrtpd,untrtpd_2,2022,6,14,5,1
untrtpd,untrtpd_2,2022,6,14,6,39
untrtpd,untrtpd_2,2022,6,14,7,57
untrtpd,untrtpd_2,2022,6,14,8,18
untrtpd,untrtpd_3,2022,6,14,1,7
untrtpd,untrtpd_3,2022,6,14,2,4
untrtpd,untrtpd_3,2022,6,14,3,9
untrtpd,untrtpd_3,2022,6,14,4,14
untrtpd,untrtpd_3,2022,6,14,5,9
untrtpd,untrtpd_3,2022,6,14,6,5
untrtpd,untrtpd_3,2022,6,14,7,20
untrtpd,untrtpd_3,2022,6,14,8,11
bison,bison_1,2022,7,4,1,0
bison,bison_1,2022,7,4,2,0
bison,bison_1,2022,7,4,3,0
bison,bison_1,2022,7,4,4,0
bison,bison_1,2022,7,4,5,0
bison,bison_1,2022,7,4,6,0
bison,bison_1,2022,7,4,7,0
bison,bison_1,2022,7,4,8,0
bison,bison_2,2022,7,8,1,0
bison,bison_2,2022,7,8,2,0
bison,bison_2,2022,7,8,3,0
bison,bison_2,2022,7,8,4,0
bison,bison_2,2022,7,8,5,0
bison,bison_2,2022,7,8,6,0
bison,bison_2,2022,7,8,7,0
bison,bison_2,2022,7,8,8,0
bison,bison_3,2022,7,5,1,0
bison,bison_3,2022,7,5,2,0
bison,bison_3,2022,7,5,3,0
bison,bison_3,2022,7,5,4,0
bison,bison_3,2022,7,5,5,0
bison,bison_3,2022,7,5,6,0
bison,bison_3,2022,7,5,7,0
bison,bison_3,2022,7,5,8,0
cattle,cattle_1,2022,7,12,1,0
cattle,cattle_1,2022,7,12,2,0
cattle,cattle_1,2022,7,12,3,0
cattle,cattle_1,2022,7,12,4,0
cattle,cattle_1,2022,7,12,5,0
cattle,cattle_1,2022,7,12,6,0
cattle,cattle_1,2022,7,12,7,0
cattle,cattle_1,2022,7,12,8,0
cattle,cattle_2,2022,7,6,1,0
cattle,cattle_2,2022,7,6,2,0
cattle,cattle_2,2022,7,6,3,0
cattle,cattle_2,2022,7,6,4,0
cattle,cattle_2,2022,7,6,5,0
cattle,cattle_2,2022,7,6,6,0
cattle,cattle_2,2022,7,6,7,0
cattle,cattle_2,2022,7,6,8,0
cattle,cattle_3,2022,7,5,1,0
cattle,cattle_3,2022,7,5,2,0
cattle,cattle_3,2022,7,5,3,0
cattle,cattle_3,2022,7,5,4,0
cattle,cattle_3,2022,7,5,5,0
cattle,cattle_3,2022,7,5,6,0
cattle,cattle_3,2022,7,5,7,0
cattle,cattle_3,2022,7,5,8,0
trtpd,trtpd_1,2022,7,6,1,7
trtpd,trtpd_1,2022,7,6,2,3
trtpd,trtpd_1,2022,7,6,3,5
trtpd,trtpd_1,2022,7,6,4,10
trtpd,trtpd_1,2022,7,6,5,3
trtpd,trtpd_1,2022,7,6,6,5
trtpd,trtpd_1,2022,7,6,7,10
trtpd,trtpd_1,2022,7,6,8,8
trtpd,trtpd_2,2022,7,4,1,0
trtpd,trtpd_2,2022,7,4,2,0
trtpd,trtpd_2,2022,7,4,3,1
trtpd,trtpd_2,2022,7,4,4,39
trtpd,trtpd_2,2022,7,4,5,2
trtpd,trtpd_2,2022,7,4,6,7
trtpd,trtpd_2,2022,7,4,7,20
trtpd,trtpd_2,2022,7,4,8,9
trtpd,trtpd_3,2022,7,7,1,3
trtpd,trtpd_3,2022,7,7,2,2
trtpd,trtpd_3,2022,7,7,3,12
trtpd,trtpd_3,2022,7,7,4,3
trtpd,trtpd_3,2022,7,7,5,6
trtpd,trtpd_3,2022,7,7,6,5
trtpd,trtpd_3,2022,7,7,7,3
trtpd,trtpd_3,2022,7,7,8,4
ungrazed,ungrazed_1,2022,7,4,1,0
ungrazed,ungrazed_1,2022,7,4,2,0
ungrazed,ungrazed_1,2022,7,4,3,0
ungrazed,ungrazed_1,2022,7,4,4,0
ungrazed,ungrazed_1,2022,7,4,5,0
ungrazed,ungrazed_1,2022,7,4,6,0
ungrazed,ungrazed_1,2022,7,4,7,0
ungrazed,ungrazed_1,2022,7,4,8,0
ungrazed,ungrazed_2,2022,7,12,1,0
ungrazed,ungrazed_2,2022,7,12,2,0
ungrazed,ungrazed_2,2022,7,12,3,0
ungrazed,ungrazed_2,2022,7,12,4,0
ungrazed,ungrazed_2,2022,7,12,5,0
ungrazed,ungrazed_2,2022,7,12,6,0
ungrazed,ungrazed_2,2022,7,12,7,0
ungrazed,ungrazed_2,2022,7,12,8,0
ungrazed,ungrazed_3,2022,7,11,1,0
ungrazed,ungrazed_3,2022,7,11,2,0
ungrazed,ungrazed_3,2022,7,11,3,0
ungrazed,ungrazed_3,2022,7,11,4,0
ungrazed,ungrazed_3,2022,7,11,5,0
ungrazed,ungrazed_3,2022,7,11,6,0
ungrazed,ungrazed_3,2022,7,11,7,0
ungrazed,ungrazed_3,2022,7,11,8,0
untrtpd,untrtpd_1,2022,7,8,1,144
untrtpd,untrtpd_1,2022,7,8,2,113
untrtpd,untrtpd_1,2022,7,8,3,28
untrtpd,untrtpd_1,2022,7,8,4,403
untrtpd,untrtpd_1,2022,7,8,5,299
untrtpd,untrtpd_1,2022,7,8,6,182
untrtpd,untrtpd_1,2022,7,8,7,152
untrtpd,untrtpd_1,2022,7,8,8,56
untrtpd,untrtpd_2,2022,7,6,1,4
untrtpd,untrtpd_2,2022,7,6,2,4
untrtpd,untrtpd_2,2022,7,6,3,1
untrtpd,untrtpd_2,2022,7,6,4,43
untrtpd,untrtpd_2,2022,7,6,5,13
untrtpd,untrtpd_2,2022,7,6,6,14
untrtpd,untrtpd_2,2022,7,6,7,17
untrtpd,untrtpd_2,2022,7,6,8,4
untrtpd,untrtpd_3,2022,7,6,1,4
untrtpd,untrtpd_3,2022,7,6,2,2
untrtpd,untrtpd_3,2022,7,6,3,4
untrtpd,untrtpd_3,2022,7,6,4,4
untrtpd,untrtpd_3,2022,7,6,5,14
untrtpd,untrtpd_3,2022,7,6,6,20
untrtpd,untrtpd_3,2022,7,6,7,4
untrtpd,untrtpd_3,2022,7,6,8,6
bison,bison_1,2022,8,9,1,0
bison,bison_1,2022,8,9,2,0
bison,bison_1,2022,8,9,3,0
bison,bison_1,2022,8,9,4,0
bison,bison_1,2022,8,9,5,0
bison,bison_1,2022,8,9,6,0
bison,bison_1,2022,8,9,7,0
bison,bison_1,2022,8,9,8,0
bison,bison_2,2022,8,2,1,0
bison,bison_2,2022,8,2,2,0
bison,bison_2,2022,8,2,3,0
bison,bison_2,2022,8,2,4,0
bison,bison_2,2022,8,2,5,0
bison,bison_2,2022,8,2,6,0
bison,bison_2,2022,8,2,7,0
bison,bison_2,2022,8,2,8,0
bison,bison_3,2022,8,5,1,0
bison,bison_3,2022,8,5,2,0
bison,bison_3,2022,8,5,3,0
bison,bison_3,2022,8,5,4,0
bison,bison_3,2022,8,5,5,0
bison,bison_3,2022,8,5,6,0
bison,bison_3,2022,8,5,7,0
bison,bison_3,2022,8,5,8,0
cattle,cattle_1,2022,8,8,1,0
cattle,cattle_1,2022,8,8,2,0
cattle,cattle_1,2022,8,8,3,0
cattle,cattle_1,2022,8,8,4,0
cattle,cattle_1,2022,8,8,5,0
cattle,cattle_1,2022,8,8,6,0
cattle,cattle_1,2022,8,8,7,0
cattle,cattle_1,2022,8,8,8,0
cattle,cattle_2,2022,8,5,1,0
cattle,cattle_2,2022,8,5,2,0
cattle,cattle_2,2022,8,5,3,0
cattle,cattle_2,2022,8,5,4,0
cattle,cattle_2,2022,8,5,5,0
cattle,cattle_2,2022,8,5,6,0
cattle,cattle_2,2022,8,5,7,0
cattle,cattle_2,2022,8,5,8,0
cattle,cattle_3,2022,8,2,1,0
cattle,cattle_3,2022,8,2,2,0
cattle,cattle_3,2022,8,2,3,0
cattle,cattle_3,2022,8,2,4,0
cattle,cattle_3,2022,8,2,5,0
cattle,cattle_3,2022,8,2,6,0
cattle,cattle_3,2022,8,2,7,0
cattle,cattle_3,2022,8,2,8,0
trtpd,trtpd_1,2022,8,9,1,9
trtpd,trtpd_1,2022,8,9,2,2
trtpd,trtpd_1,2022,8,9,3,1
trtpd,trtpd_1,2022,8,9,4,5
trtpd,trtpd_1,2022,8,9,5,2
trtpd,trtpd_1,2022,8,9,6,1
trtpd,trtpd_1,2022,8,9,7,4
trtpd,trtpd_1,2022,8,9,8,3
