trt,site,yr,month,day,date,DOY,line,replicate (2m apart),measurement (cm),g_per_m2
bison,bison_1,2022,6,9,6/9/2022,160,4,1,3,72.6915
bison,bison_1,2022,6,9,6/9/2022,160,4,2,7,169.6135
bison,bison_1,2022,6,9,6/9/2022,160,4,3,4,96.922
bison,bison_1,2022,6,9,6/9/2022,160,4,4,3,72.6915
bison,bison_1,2022,6,9,6/9/2022,160,4,5,6,145.383
bison,bison_1,2022,6,9,6/9/2022,160,4,6,2,48.461
bison,bison_1,2022,6,9,6/9/2022,160,4,7,1,24.2305
bison,bison_1,2022,6,9,6/9/2022,160,4,8,3,72.6915
bison,bison_1,2022,6,9,6/9/2022,160,4,9,4,96.922
bison,bison_1,2022,6,9,6/9/2022,160,4,10,3,72.6915
bison,bison_1,2022,6,9,6/9/2022,160,4,11,3,72.6915
bison,bison_1,2022,6,9,6/9/2022,160,4,12,10,242.305
bison,bison_1,2022,6,9,6/9/2022,160,4,13,13,314.9965
bison,bison_1,2022,6,9,6/9/2022,160,4,14,4,96.922
bison,bison_1,2022,6,9,6/9/2022,160,4,15,7,169.6135
bison,bison_1,2022,6,9,6/9/2022,160,4,16,4,96.922
bison,bison_1,2022,6,9,6/9/2022,160,4,17,5,121.1525
bison,bison_1,2022,6,9,6/9/2022,160,4,18,4,96.922
bison,bison_1,2022,6,9,6/9/2022,160,4,19,1,24.2305
bison,bison_1,2022,6,9,6/9/2022,160,4,20,15,363.4575
bison,bison_1,2022,6,9,6/9/2022,160,4,21,2,48.461
bison,bison_1,2022,6,9,6/9/2022,160,4,22,3,72.6915
bison,bison_1,2022,6,9,6/9/2022,160,4,23,5,121.1525
bison,bison_1,2022,6,9,6/9/2022,160,4,24,4,96.922
bison,bison_1,2022,6,9,6/9/2022,160,4,25,4,96.922
bison,bison_1,2022,6,9,6/9/2022,160,4,26,4,96.922
bison,bison_1,2022,6,9,6/9/2022,160,4,27,10,242.305
bison,bison_1,2022,6,9,6/9/2022,160,4,28,4,96.922
bison,bison_1,2022,6,9,6/9/2022,160,4,29,5,121.1525
bison,bison_1,2022,6,9,6/9/2022,160,4,30,7,169.6135
bison,bison_1,2022,6,9,6/9/2022,160,9,1,5,121.1525
bison,bison_1,2022,6,9,6/9/2022,160,9,2,3,72.6915
bison,bison_1,2022,6,9,6/9/2022,160,9,3,3,72.6915
bison,bison_1,2022,6,9,6/9/2022,160,9,4,2,48.461
bison,bison_1,2022,6,9,6/9/2022,160,9,5,1,24.2305
bison,bison_1,2022,6,9,6/9/2022,160,9,6,3,72.6915
bison,bison_1,2022,6,9,6/9/2022,160,9,7,3,72.6915
bison,bison_1,2022,6,9,6/9/2022,160,9,8,2,48.461
bison,bison_1,2022,6,9,6/9/2022,160,9,9,1,24.2305
bison,bison_1,2022,6,9,6/9/2022,160,9,10,2,48.461
bison,bison_1,2022,6,9,6/9/2022,160,9,11,5,121.1525
bison,bison_1,2022,6,9,6/9/2022,160,9,12,3,72.6915
bison,bison_1,2022,6,9,6/9/2022,160,9,13,4,96.922
bison,bison_1,2022,6,9,6/9/2022,160,9,14,3,72.6915
