Number,trt,site,yr,month,mo,day,type,percC,percN,Al_ppm,B_ppm,Ca_ppm,Cu_ppm,Fe_ppm,K_ppm,Li_ppm,Mg_ppm,Mn_ppm,Ni_ppm,P_ppm,Pb_ppm,S_ppm,Si_ppm,Sr_ppm,Ti_ppm,V_ppm,Zn_ppm
1,untrtpd,untrtpd_3,2022,June,6,14,woody,43.07,1.15,769.9375,16.6875,5156.9375,7.9375,1471.4375,11009.6875,3.6875,1938.75,55.0625,2.125,931.125,2.3125,1316.125,60.5625,41.25,6.5625,3.0625,32.0625
2,untrtpd,untrtpd_3,2022,June,6,14,grass,43.5,1.71,90.4375,6.125,2513.875,3.9375,140.9375,11937.4375,2.0625,835.625,19.5,0.6875,1018.6875,0,1332.75,134.9375,12.0625,1.1875,0,16.4375
3,untrtpd,untrtpd_3,2022,June,6,14,forb,43.46,2.22,320.4375,29.8125,7073.6875,10.0625,606.4375,17142.625,2.375,2246.75,52.6875,2.5,1658.4375,1.375,2186.4375,34.0625,37,3.9375,0.9375,23.875
4,untrtpd,untrtpd_2,2022,June,6,14,woody,42.13,0.96,779.125,10.4375,6410.8125,6.5625,1317.875,6315.5,4.0625,1210.375,49.375,2.3125,730.3125,0,752.5625,50.625,34.875,8.8125,2.25,20.9375
5,untrtpd,untrtpd_2,2022,June,6,14,grass,45,2.16,99.25,5.1875,2739.25,4.125,106.6875,12780.625,2.1875,703.5,22.1875,0.1875,1031.625,0,1448.1875,90.375,9.875,0.875,0,14.4375
6,untrtpd,untrtpd_2,2022,June,6,14,forb,38.52,1.59,619.625,22.75,6646.1875,11.375,959.5625,18592.5,3.6875,1642.6875,50.5625,2.0625,1349.8125,2.125,1728.75,35.0625,28.9375,6.3125,1.5,26.625
7,untrtpd,untrtpd_1,2022,June,6,10,grass,44.67,3.39,76.625,7.75,4177.625,6.9375,128.6875,33566.5,2.3125,1989.8125,39,0.125,3506.375,0,2643.1875,64.8125,28.0625,0.9375,0,28.875
8,untrtpd,untrtpd_1,2022,June,6,10,forb,41.94,2.78,245.625,31.5625,13338.75,9.0625,376.625,34772.4375,2.8125,3464.125,50.4375,1,2921.625,0,3553,31.25,49.5,3.0625,0,16.4375
9,ungrazed,ungrazed_3,2022,June,6,17,woody,45.29,1.42,131.625,25.375,9598.125,7.3125,100.75,27298.4375,2.5,1766.625,72.25,1.4375,2406.4375,0,1964.6875,49.5,45.5,0.3125,0,37.5625
10,ungrazed,ungrazed_3,2022,June,6,17,grass,45.63,1.46,32.9375,4.5625,1690.75,2.3125,45.625,6284.8125,1.625,519.5,23.625,0.625,931.625,0,1032,83.9375,6.875,0.375,0,8.25
