trt,site,yr,mo,day,plot,browser_100m2,patty_100m2,PD_1m2,browser_minusLastMo,patty_minusLastMo,PD_minusLastMo,,,,,,,,,
bison,bison1,2022,6,9,1,0,3,NA,NA,NA,NA,,,,,,,,,
bison,bison1,2022,6,9,2,0,6,NA,NA,NA,NA,,,,,,,,,
bison,bison1,2022,6,9,3,0,5,NA,NA,NA,NA,,,,,,,,,
bison,bison1,2022,6,9,4,0,0,NA,NA,NA,NA,,,,,,,,,
bison,bison1,2022,6,9,5,0,3,NA,NA,NA,NA,,,,,,,,,
bison,bison1,2022,6,9,6,0,2,NA,NA,NA,NA,,,,,,,,,
bison,bison1,2022,6,9,7,1,5,NA,NA,NA,NA,,,,,,,,,
bison,bison1,2022,6,9,8,0,3,NA,NA,NA,NA,,,,,,,,,
bison,bison2,2022,6,14,1,1,23,NA,NA,NA,NA,,,,,,,,,
bison,bison2,2022,6,14,2,1,29,NA,NA,NA,NA,,,,,,,,,
bison,bison2,2022,6,14,3,1,18,NA,NA,NA,NA,,,,,,,,,
bison,bison2,2022,6,14,4,1,21,NA,NA,NA,NA,,,,,,,,,
bison,bison2,2022,6,14,5,0,20,NA,NA,NA,NA,,,,,,,,,
bison,bison2,2022,6,14,6,1,31,NA,NA,NA,NA,,,,,,,,,
bison,bison2,2022,6,14,7,0,36,NA,NA,NA,NA,,,,,,,,,
bison,bison2,2022,6,14,8,0,42,NA,NA,NA,NA,,,,,,,,,
bison,bison3,2022,6,14,1,0,11,NA,NA,NA,NA,,,,,,,,,
bison,bison3,2022,6,14,2,0,10,NA,NA,NA,NA,,,,,,,,,
bison,bison3,2022,6,14,3,0,18,NA,NA,NA,NA,,,,,,,,,
bison,bison3,2022,6,14,4,0,13,NA,NA,NA,NA,,,,,,,,,
bison,bison3,2022,6,14,5,0,14,NA,NA,NA,NA,,,,,,,,,
bison,bison3,2022,6,14,6,1,14,NA,NA,NA,NA,,,,,,,,,
bison,bison3,2022,6,14,7,1,6,NA,NA,NA,NA,,,,,,,,,
bison,bison3,2022,6,14,8,1,1,NA,NA,NA,NA,,,,,,,,,
cattle,cattle1,2022,6,16,1,2,18,NA,NA,NA,NA,,,,,,,,,
cattle,cattle1,2022,6,16,2,4,16,NA,NA,NA,NA,,,,,,,,,
cattle,cattle1,2022,6,16,3,8,8,NA,NA,NA,NA,,,,,,,,,
cattle,cattle1,2022,6,16,4,12,14,NA,NA,NA,NA,,,,,,,,,
cattle,cattle1,2022,6,16,5,9,15,NA,NA,NA,NA,,,,,,,,,
cattle,cattle1,2022,6,16,6,13,3,NA,NA,NA,NA,,,,,,,,,
cattle,cattle1,2022,6,16,7,11,11,NA,NA,NA,NA,,,,,,,,,
cattle,cattle1,2022,6,16,8,10,5,NA,NA,NA,NA,,,,,,,,,
cattle,cattle2,2022,6,10,1,0,6,NA,NA,NA,NA,,,,,,,,,
cattle,cattle2,2022,6,10,2,2,14,NA,NA,NA,NA,,,,,,,,,
cattle,cattle2,2022,6,10,3,1,15,NA,NA,NA,NA,,,,,,,,,
cattle,cattle2,2022,6,10,4,1,18,NA,NA,NA,NA,,,,,,,,,
cattle,cattle2,2022,6,10,5,0,11,NA,NA,NA,NA,,,,,,,,,
cattle,cattle2,2022,6,10,6,1,7,NA,NA,NA,NA,,,,,,,,,
cattle,cattle2,2022,6,10,7,2,18,NA,NA,NA,NA,,,,,,,,,
cattle,cattle2,2022,6,10,8,0,10,NA,NA,NA,NA,,,,,,,,,
