trt,site,yr,month,day,line,ring,count
bison,bison_1,2022,6,9,1,1,1
bison,bison_1,2022,6,9,1,2,0
bison,bison_1,2022,6,9,1,3,0
bison,bison_1,2022,6,9,1,4,0
bison,bison_1,2022,6,9,1,5,1
bison,bison_1,2022,6,9,1,6,0
bison,bison_1,2022,6,9,1,7,0
bison,bison_1,2022,6,9,1,8,1
bison,bison_1,2022,6,9,1,9,2
bison,bison_1,2022,6,9,1,10,3
bison,bison_1,2022,6,9,1,11,0
bison,bison_1,2022,6,9,1,12,1
bison,bison_1,2022,6,9,1,13,1
bison,bison_1,2022,6,9,1,14,1
bison,bison_1,2022,6,9,1,15,0
bison,bison_1,2022,6,9,6,1,5
bison,bison_1,2022,6,9,6,2,0
bison,bison_1,2022,6,9,6,3,4
bison,bison_1,2022,6,9,6,4,0
bison,bison_1,2022,6,9,6,5,0
bison,bison_1,2022,6,9,6,6,0
bison,bison_1,2022,6,9,6,7,2
bison,bison_1,2022,6,9,6,8,1
bison,bison_1,2022,6,9,6,9,1
bison,bison_1,2022,6,9,6,10,0
bison,bison_1,2022,6,9,6,11,0
bison,bison_1,2022,6,9,6,12,0
bison,bison_1,2022,6,9,6,13,1
bison,bison_1,2022,6,9,6,14,0
bison,bison_1,2022,6,9,6,15,1
bison,bison_2,2022,6,14,1,1,0
bison,bison_2,2022,6,14,1,2,0
bison,bison_2,2022,6,14,1,3,1
bison,bison_2,2022,6,14,1,4,1
bison,bison_2,2022,6,14,1,5,0
bison,bison_2,2022,6,14,1,6,0
bison,bison_2,2022,6,14,1,7,1
bison,bison_2,2022,6,14,1,8,0
bison,bison_2,2022,6,14,1,9,0
bison,bison_2,2022,6,14,1,10,0
bison,bison_2,2022,6,14,1,11,1
bison,bison_2,2022,6,14,1,12,1
bison,bison_2,2022,6,14,1,13,0
bison,bison_2,2022,6,14,1,14,0
bison,bison_2,2022,6,14,1,15,0
bison,bison_2,2022,6,14,6,1,0
bison,bison_2,2022,6,14,6,2,0
bison,bison_2,2022,6,14,6,3,0
bison,bison_2,2022,6,14,6,4,0
bison,bison_2,2022,6,14,6,5,0
bison,bison_2,2022,6,14,6,6,0
bison,bison_2,2022,6,14,6,7,1
bison,bison_2,2022,6,14,6,8,0
bison,bison_2,2022,6,14,6,9,0
bison,bison_2,2022,6,14,6,10,0
bison,bison_2,2022,6,14,6,11,0
bison,bison_2,2022,6,14,6,12,0
bison,bison_2,2022,6,14,6,13,0
bison,bison_2,2022,6,14,6,14,1
bison,bison_2,2022,6,14,6,15,0
bison,bison_3,2022,6,21,1,1,1
bison,bison_3,2022,6,21,1,2,0
bison,bison_3,2022,6,21,1,3,0
bison,bison_3,2022,6,21,1,4,0
bison,bison_3,2022,6,21,1,5,2
bison,bison_3,2022,6,21,1,6,0
bison,bison_3,2022,6,21,1,7,0
bison,bison_3,2022,6,21,1,8,0
bison,bison_3,2022,6,21,1,9,1
bison,bison_3,2022,6,21,1,10,1
bison,bison_3,2022,6,21,1,11,0
bison,bison_3,2022,6,21,1,12,0
bison,bison_3,2022,6,21,1,13,1
bison,bison_3,2022,6,21,1,14,0
bison,bison_3,2022,6,21,1,15,0
bison,bison_3,2022,6,21,6,1,0
bison,bison_3,2022,6,21,6,2,0
bison,bison_3,2022,6,21,6,3,0
bison,bison_3,2022,6,21,6,4,0
bison,bison_3,2022,6,21,6,5,0
bison,bison_3,2022,6,21,6,6,0
bison,bison_3,2022,6,21,6,7,0
bison,bison_3,2022,6,21,6,8,0
bison,bison_3,2022,6,21,6,9,0
bison,bison_3,2022,6,21,6,10,0
bison,bison_3,2022,6,21,6,11,2
bison,bison_3,2022,6,21,6,12,1
bison,bison_3,2022,6,21,6,13,0
bison,bison_3,2022,6,21,6,14,1
bison,bison_3,2022,6,21,6,15,0
ungrazed,ungrazed_1,2022,6,16,1,1,0
ungrazed,ungrazed_1,2022,6,16,1,2,1
ungrazed,ungrazed_1,2022,6,16,1,3,0
ungrazed,ungrazed_1,2022,6,16,1,4,1
ungrazed,ungrazed_1,2022,6,16,1,5,2
ungrazed,ungrazed_1,2022,6,16,1,6,0
ungrazed,ungrazed_1,2022,6,16,1,7,2
ungrazed,ungrazed_1,2022,6,16,1,8,1
