day,mo,yr,time,time2,bison_1_tempC,bison_1_percRH,bison_2_tempC,bison_2_percRH,bison_3_tempC,bison_3_percRH,cattle_1_tempC,cattle_1_percRH,cattle_2_tempC,cattle_2_percRH,cattle_3_tempC,cattle_3_percRH,ungrazed_1_tempC,ungrazed_1_percRH,ungrazed_2_tempC,ungrazed_2_percRH,ungrazed_3_tempC,ungrazed_3_percRH,trtpd_1_tempC,trtpd_1_percRH,trtpd_2_tempC,trtpd_2_percRH,trtpd_3_tempC,trtpd_3_percRH,untrtpd_1_tempC,untrtpd_1_percRH,untrtpd_2_tempC,untrtpd_2_percRH,untrtpd_3_tempC,untrtpd_3_percRH
8,6,2022,17,5pm,17.393,67.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.179,68.84,NA,NA,NA,NA,NA,NA,NA,NA
8,6,2022,23,11pm,14.262,90.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.918,90.354,NA,NA,NA,NA,NA,NA,NA,NA
9,6,2022,5,5am,28.676,29.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.864,29.011,NA,NA,NA,NA,NA,NA,NA,NA
9,6,2022,11,11am,28.033,28.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.478,25.031,NA,NA,NA,NA,NA,NA,NA,NA
9,6,2022,17,5pm,14.262,69.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.516,88.327,NA,NA,NA,NA,NA,NA,14.433,65.421,NA,NA,NA,NA,NA,NA,NA,NA
9,6,2022,23,11pm,13.833,81.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.43,94.921,NA,NA,NA,NA,NA,NA,13.446,84.151,NA,NA,NA,NA,NA,NA,NA,NA
10,6,2022,5,5am,29.234,38.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.845,46.813,NA,NA,NA,NA,NA,NA,27.947,43.419,NA,NA,NA,NA,NA,NA,NA,NA
10,6,2022,11,11am,27.475,33.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.435,29.817,NA,NA,NA,NA,NA,NA,27.99,32.772,NA,NA,NA,NA,NA,NA,NA,NA
10,6,2022,17,5pm,14.433,73.797,NA,NA,NA,NA,NA,NA,14.905,61.978,NA,NA,16.45,69.182,NA,NA,NA,NA,NA,NA,15.892,67.131,NA,NA,12.674,85.031,NA,NA,NA,NA
10,6,2022,23,11pm,13.017,76.215,NA,NA,NA,NA,NA,NA,10.572,80.122,NA,NA,11.988,75.946,NA,NA,NA,NA,NA,NA,12.117,80.195,NA,NA,10.529,91.917,NA,NA,NA,NA
11,6,2022,5,5am,33.91,25.421,NA,NA,NA,NA,NA,NA,26.831,35.58,NA,NA,31.851,28.425,NA,NA,NA,NA,NA,NA,31.25,27.399,NA,NA,30.135,33.675,NA,NA,NA,NA
11,6,2022,11,11am,26.574,32.259,NA,NA,NA,NA,NA,NA,25.073,37.753,NA,NA,29.877,29.792,NA,NA,NA,NA,NA,NA,25.416,31.77,NA,NA,23.828,38.681,NA,NA,NA,NA
11,6,2022,17,5pm,16.192,54.799,NA,NA,NA,NA,NA,NA,16.535,52.65,NA,NA,15.42,58.95,NA,NA,NA,NA,NA,NA,16.964,51.77,NA,NA,14.047,68.62,NA,NA,NA,NA
11,6,2022,23,11pm,13.103,71.184,NA,NA,NA,NA,NA,NA,11.902,63.907,NA,NA,11.387,74.75,NA,NA,NA,NA,NA,NA,11.301,77.045,NA,NA,13.146,72.943,NA,NA,NA,NA
12,6,2022,5,5am,37.857,16.752,NA,NA,NA,NA,NA,NA,28.547,29.011,NA,NA,33.653,24.567,NA,NA,NA,NA,NA,NA,36.227,20.244,NA,NA,31.937,28.864,NA,NA,NA,NA
12,6,2022,11,11am,25.502,36.044,NA,NA,NA,NA,NA,NA,27.518,37.289,NA,NA,25.459,38.339,NA,NA,NA,NA,NA,NA,24.815,37.607,NA,NA,28.934,35.507,NA,NA,NA,NA
12,6,2022,17,5pm,16.75,80.024,NA,NA,NA,NA,NA,NA,10.486,94.799,NA,NA,16.964,75.531,NA,NA,NA,NA,NA,NA,16.407,82.662,NA,NA,11.473,97.534,NA,NA,NA,NA
12,6,2022,23,11pm,14.948,86.764,NA,NA,NA,NA,NA,NA,12.631,99.585,NA,NA,14.948,88.303,NA,NA,NA,NA,NA,NA,14.519,88.962,NA,NA,13.232,98.437,NA,NA,NA,NA
13,6,2022,5,5am,30.607,31.893,NA,NA,NA,NA,NA,NA,25.459,50.574,NA,NA,33.481,31.306,NA,NA,NA,NA,NA,NA,25.416,40.977,NA,NA,29.792,40.391,NA,NA,NA,NA
13,6,2022,11,11am,19.967,42.247,NA,NA,NA,NA,NA,NA,15.763,59.512,NA,NA,18.809,58.022,NA,NA,NA,NA,NA,NA,19.538,45.446,NA,NA,20.311,47.448,NA,NA,NA,NA
13,6,2022,17,5pm,12.202,51.477,11.516,54.652,NA,NA,10.701,67.057,11.087,52.991,NA,NA,10.443,72.65,13.747,55.995,NA,NA,11.044,64.005,13.575,47.131,NA,NA,11.259,57.094,NA,NA,NA,NA
13,6,2022,23,11pm,5.81,74.921,6.797,70.745,NA,NA,5.467,61.392,3.193,78.974,NA,NA,1.091,94.457,6.153,60.537,NA,NA,2.764,75.531,4.695,73.773,NA,NA,6.068,74.872,NA,NA,NA,NA
14,6,2022,5,5am,24.772,22.295,17.865,34.139,NA,NA,15.677,36.752,18.68,35.751,NA,NA,18.466,30.061,16.921,33.773,NA,NA,18.38,31.429,18.337,30.891,NA,NA,19.71,31.38,NA,NA,NA,NA
14,6,2022,11,11am,13.618,49.963,11.688,57.118,NA,NA,15.12,39.878,11.473,60.073,NA,NA,17.951,35.067,15.978,42.369,NA,NA,16.964,37.68,12.588,53.822,NA,NA,11.816,58.266,NA,NA,8.685,85.372
14,6,2022,17,5pm,7.612,94.628,9.156,72.576,7.269,91.282,8.985,68.132,8.727,70.867,NA,NA,10.958,56.703,9.929,58.266,NA,NA,10.958,56.654,7.44,94.505,NA,NA,8.813,74.481,7.355,92.332,7.526,91.38
14,6,2022,23,11pm,11.387,63.712,10.572,69.206,9.929,71.258,9.929,65.47,8.813,78.095,NA,NA,11.044,61.954,10.1,63.37,NA,NA,9.543,79.145,11.387,61.905,NA,NA,10.358,72.015,9.843,73.748,9.671,76.679
15,6,2022,5,5am,16.535,59.267,11.301,95.36,11.859,93.407,11.259,84.42,10.486,96.606,NA,NA,16.106,55.433,13.189,65.69,NA,NA,14.219,69.866,15.034,65.079,NA,NA,11.516,98.803,11.516,97.753,11.516,99.536
15,6,2022,11,11am,17.779,60.269,16.75,64.444,19.324,52.674,15.549,67.375,15.72,68.181,NA,NA,17.093,62.93,16.063,68.254,NA,NA,16.492,65.714,17.007,62.784,NA,NA,16.836,66.154,17.608,62.222,19.624,55.36
15,6,2022,17,5pm,12.503,72.723,12.546,75.946,12.288,72.063,12.631,69.328,12.803,68.645,NA,NA,12.46,68.816,12.717,66.691,NA,NA,14.133,63.15,13.146,69.524,NA,NA,12.031,79.609,12.331,74.164,12.717,70.208
15,6,2022,23,11pm,11.259,82.808,11.859,85.47,10.83,83.59,7.655,93.089,11.859,79.219,NA,NA,8.513,91.551,9.028,86.886,NA,NA,8.985,87.497,10.272,86.398,NA,NA,11.43,88.278,10.057,89.451,10.443,87.399
16,6,2022,5,5am,29.749,27.473,33.695,28.767,33.91,23.761,23.914,40.781,26.016,34.652,NA,NA,32.966,25.324,36.999,21.514,NA,NA,33.481,23.101,37.599,20.537,NA,NA,32.323,34.261,28.633,36.825,35.969,20.635
16,6,2022,11,11am,32.065,22.051,28.419,34.017,28.976,26.3,33.61,20.293,41.847,15.238,NA,NA,30.778,28.23,32.408,24.615,NA,NA,31.722,20.684,35.883,19.267,NA,NA,32.022,25.934,31.636,25.47,28.161,29.06
16,6,2022,17,5pm,10.186,81.172,10.401,83.81,13.618,72.845,16.192,62.393,12.631,75.849,NA,NA,17.222,58.95,13.489,71.6,NA,NA,15.034,62.149,17.179,58.803,14.262,68.107,9.929,92.43,14.219,71.038,12.674,79.17
16,6,2022,23,11pm,17.05,67.595,11.73,100,8.899,99.731,16.364,66.398,9.328,100,NA,NA,17.393,63.81,16.364,65.47,NA,NA,13.361,77.143,16.192,69.573,12.932,80.44,11.816,97.363,10.486,91.355,15.763,73.358
17,6,2022,5,5am,38.286,21.832,35.883,28.571,36.613,27.155,30.092,34.75,33.181,30.305,NA,NA,34.296,28.987,36.012,26.007,NA,NA,33.524,27.228,38.929,20.977,33.996,29.719,34.124,28.278,34.21,30.183,35.583,25.568
17,6,2022,11,11am,41.117,15.189,37.428,22.735,35.068,24.908,32.966,23.883,46.265,16.288,NA,NA,33.867,26.593,31.937,28.816,NA,NA,33.653,24.664,44.635,13.651,33.438,28.425,40.088,18.364,37.085,22.637,35.54,23.053
17,6,2022,17,5pm,27.947,42.589,25.03,56.361,24.858,53.7,28.891,39.731,25.373,57.167,27.303,50.916,28.247,46.447,26.831,47.619,26.059,65.763,28.762,46.716,27.475,44.274,27.904,48.205,25.03,56.459,23.228,60.464,24.386,59.341
17,6,2022,23,11pm,21.598,61.148,16.063,79.56,18.509,59.805,20.997,61.954,18.766,56.532,19.109,50.549,18.809,71.184,19.195,67.399,16.321,100,15.72,75.8,18.852,72.308,15.463,80.073,17.822,74.945,19.281,59.853,21.211,54.286
18,6,2022,5,5am,30.435,40.757,35.369,33.309,39.101,29.963,28.676,45.25,28.247,45.958,30.95,40.122,35.025,30.379,35.454,29.255,29.148,45.885,32.709,35.946,31.508,39.756,33.653,35.189,35.841,32.576,33.524,42.295,41.031,26.227
18,6,2022,11,11am,35.969,24.737,37.642,25.446,32.494,34.701,38.286,23.15,38.157,23.639,34.339,30.037,35.583,28.742,42.061,22.759,37.428,26.764,35.626,26.252,40.302,19.658,36.355,27.253,40.131,22.051,37.385,27.668,33.996,31.722
18,6,2022,17,5pm,16.793,99.17,16.921,99.805,16.192,100,21.769,65.201,16.664,98.755,16.793,97.753,18.337,93.089,21.211,69.768,21.726,72.869,21.941,66.471,16.621,100,18.08,95.653,16.921,100,16.707,99.731,16.75,99.853
18,6,2022,23,11pm,16.664,100,16.149,100,15.806,100,16.106,98.608,15.763,100,16.063,100,17.093,100,16.106,100,16.492,100,16.621,100,16.492,100,16.964,100,16.192,100,16.192,100,16.106,100
