trt,mo,ID,Number
bison,June,Cup 6,2
bison,June,Cup 7,2
bison,June,SW,2
ungrazed,June,Cup 2,4
trtpd,June,NE,3
untrtpd,June,Cup 8,1
untrtpd,June,Cup 1,3
bison,June,Cup 9,5
bison,June,SE,4
bison,June,SW,4
ungrazed,June,NW,3
ungrazed,June,NE,1
ungrazed,June,Cup 3,1
ungrazed,June,Cup 4,1
ungrazed,June,SE,5
ungrazed,June,Cup 8,2
ungrazed,June,Cup 7,1
cattle,June,Cup 5,1
cattle,June,NE,1
ungrazed,July,Cup 3,1
ungrazed,July,Cup 2,1
ungrazed,July,SE,1
ungrazed,July,NE,2
ungrazed,July,NW,2
cattle,July,"
Cup 1",5
cattle,July,Cup 8,3
cattle,July,Cup 9,1
cattle,July,Cup 4,1
cattle,July,Cup 10,1
bison,July,SW,1
ungrazed,July,SW,2
ungrazed,July,Cup 8,1
ungrazed,July,SW,2
ungrazed,July,Cup 5,2
ungrazed,July,Cup 10,3
ungrazed,July,Cup 3,1
ungrazed,July,NW,2
trtpd,July,Cup 8,3
trtpd,July,NE,1
trtpd,July,Cup 9,2
untrtpd,July,SE,1
untrtpd,July,NE,2
untrtpd,July,NW,2
untrtpd,July,Cup 1,1
untrtpd,July,Cup 7,4
untrtpd,July,Cup 9,1
untrtpd,July,Cup 2,2
untrtpd,July,Cup 6,1
untrtpd,July,Cup 8,1
untrtpd,July,Cup 2,1
untrtpd,July,Cup 5,1
untrtpd,July,Cup 6,1
untrtpd,July,"
Cup 1",2
untrtpd,July,SE,2
bison,July,SW,1
bison,July,NW,3
bison,July,Cup 1,1
bison,July,Cup 2,3
bison,July,Cup 5,2
bison,July,NE,6
bison,July,NE,2
bison,July,NW,1
bison,July,SW,1
bison,July,Cup 7,1
bison,July,SE,2
bison,July,SE,1
cattle,July,Cup 9,3
cattle,July,Cup 10,2
cattle,July,SE,2
cattle,July,"
Cup 1",1
cattle,July,SE,1
cattle,July,NE,1
cattle,July,Cup 8,1
cattle,July,Cup 3,1
bison,July,SE,6
bison,July,Cup 7,2
bison,July,NE,1
bison,July,Cup 2,1
bison,July,NW,1
bison,July,Cup 5,3
bison,July,Cup 9,1
bison,July,NW,3
trtpd,July,Cup 2,3
trtpd,July,NE,1
trtpd,July,Cup 5,1
cattle,July,NW,1
cattle,July,Cup 9,1
cattle,July,Cup 1,1
cattle,July,SE,2
cattle,July,Cup 7,1
cattle,July,Cup 4,1
cattle,July,Cup 3,3
cattle,July,SW,4
cattle,July,SW,3
cattle,July,NE,1
cattle,July,NE,1
ungrazed,July,Cup 6,1
ungrazed,July,SW,3
ungrazed,July,Cup 10,1
ungrazed,July,Cup 9,2
ungrazed,July,Cup 7,2
ungrazed,July,NE,1
trtpd,July,Cup 2,5
trtpd,July,Cup 3,1
trtpd,July,Cup 10,4
trtpd,July,NE,1
untrtpd,August,NW,1
untrtpd,August,SW,1
cattle,August,Cup 9,1
cattle,August,Cup 8,1
cattle,August,Cup 10,1
cattle,August,NW,2
bison,August,SW,1
bison,August,NW,1
ungrazed,August,Cup 3,2
ungrazed,August,Cup 5,1
ungrazed,August,Cup 6,3
ungrazed,August,SW,2
ungrazed,August,SE,2
ungrazed,August,NW,2
ungrazed,August,NE,1
untrtpd,August,NW,3
untrtpd,August,SE,1
cattle,August,NW,1
cattle,August,SE,1
bison,August,NW,1
bison,August,Cup 5,2
cattle,August,NE,1
cattle,August,Cup 6,1
cattle,August,SW,1
cattle,August,Cup 2,1
bison,August,Cup 9,1
bison,August,SE,2
ungrazed,August,Cup 3,1
ungrazed,August,Cup 7,2
ungrazed,August,Cup 2,2
cattle,August,Cup 3,1
ungrazed,August,NE,3
ungrazed,August,SW,1
ungrazed,August,Cup 8,1
ungrazed,August,Cup 10,2
ungrazed,August,Cup 1,1
